Portal;Catálogo;Fonte Pagadora;Conta;Path;Credencial ID;Holder;Access Type;Cadastrada;Anomalia;Ano;Mês Nº;Mês;Período;Pasta Presente;Tem ECAD;Tem Recibo
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;1;Jan;Jan/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;2;Fev;Fev/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;3;Mar;Mar/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;4;Abr;Abr/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;5;Mai;Mai/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;6;Jun;Jun/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;7;Jul;Jul/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;8;Ago;Ago/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;9;Set;Set/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;10;Out;Out/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;11;Nov;Nov/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2018;12;Dez;Dez/2018;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2019;1;Jan;Jan/2019;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2019;2;Fev;Fev/2019;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2019;3;Mar;Mar/2019;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2019;4;Abr;Abr/2019;Não;Não;Não
UBC;_ORPHANS;UBC;ECAD_1724704;Z:\ROYALTY\Royalties Statements_Historicals\_ORPHANS\UBC\ECAD_1724704;;;não cadastrada;Não;Não;2019;5;Mai;Mai/2019;Não;Não;Não
